country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Iraq,52.3,36.3,56.5,78,89.8,87.4,91,108.3,74.2,55.3,74.3,83.9,78.8,72.8,77.5,74.2,75.8,78.7,82.1,93,98.8,104.1,111,119.6,115.9,116.1,132.1,130.2,135.4,145.8,135.3
Israel,35,36.3,39.6,41.7,45.4,50.4,53.6,53.3,56.7,58.5,61.9,62.5,63.9,65.5,66,67.6,67.4,70.4,71.6,68.4,71.6,72.8,78.9,69.3,66.7,69.8,69.1,71,69.8,72.1,64.5
Kuwait,21.6,11.7,19.8,22.8,26.9,33.8,33.4,34.5,41.7,43.8,46.6,47.4,51.1,62.1,70,77.3,73.5,71,76.9,76.8,87.4,88.9,91.9,94.6,96.3,98.1,97.9,99.9,99.7,99.8,89.8
Oman,11.3,15.7,14.9,14.1,13.2,15.3,15.6,15.6,16,18.7,25.4,28.1,30.8,31.7,29.5,32.8,35.8,35.4,42.4,41.8,49,52.2,57.6,65.7,65.2,68.7,69.1,74.3,76.2,77.7,75.4
Qatar,12.9,15.2,24,25.7,26.2,26.4,19.6,21.1,23,25.9,22.6,21.6,24.5,27.3,33.6,37.7,40,45.4,50.4,51.1,59.9,68.7,78.5,86.6,94.7,109.5,107.2,103.4,90.1,98.5,85
Saudi Arabia,202.3,212.1,208.6,213,249.5,242.1,246.5,250.9,265,269.8,278.2,287.2,295.2,314.7,340.4,342.8,360.1,379.2,412,426.9,472,499.8,525,534.1,569.5,586.9,599.1,593.8,575.5,574.4,565.1
United Arab Emirates,81.7,100.2,97.5,101.4,110.6,114.6,117,121.7,124.1,124.5,123.6,124.2,132.4,142.1,152.5,159.1,168.1,184.8,210.5,204.3,213.8,220.7,231.9,247.3,243.5,265.6,276.2,278.1,272.7,269.9,243.8
Other Middle East,71.9,77.1,79.6,81.6,84.4,91,92.5,99.1,104.1,106.2,107.5,111.5,114.6,119.9,124.5,138.3,143,149.3,155.2,155.2,152.6,145.8,138.3,131.3,131,121.3,119.3,120.7,117.7,120.4,116.8
Algeria,65.4,65.3,66.6,62.1,62.8,65.2,64.3,61.8,64.4,64.4,62.6,64.9,67.9,71,74.3,76.9,80.8,85.2,90.6,95.7,94.6,100.6,108.9,115.4,123.6,129,127.7,130.7,137.7,141.3,129.8
Egypt,86.5,87.1,85.6,84,88.4,93.5,99.5,103.9,108.1,113.9,118.8,125,122.2,132.2,131.3,145.6,148.6,157.7,165.7,174.4,185.6,187.2,197.8,196.6,201.4,204.9,213.4,216.9,218,216.9,199.2
Morocco,21.3,21.5,24.2,25.2,27.3,27.1,27.6,28.4,29.9,31.5,31.6,34.4,35.4,34.7,40.1,43.9,44.6,43.8,48.6,45.2,49.1,52.9,53.9,54.3,56.5,56.7,57,60,61.6,67.7,62.8
South Africa,324.9,319.2,327.2,329.6,340.3,351.2,357.3,365.1,357.6,370.1,371.6,376.5,366.6,399.8,439.1,421.7,430.9,441,476,474.4,474.9,466.3,462.1,462.8,467.2,455.1,473.9,469.7,451.3,462.1,434.1
Eastern Africa,52,47.9,48.2,52.3,52.3,53,53.1,55.3,55,55,54.4,57.5,57.3,55.5,62.2,64,65,67.5,66.7,71,76.1,80.8,79.7,89.7,100,104.9,103,111.2,117.2,118.4,102.1
Middle Africa,14.4,13,12.9,13.3,13,12.8,12.9,13.3,12.4,13.3,14.3,14.9,15.7,17.2,21,19.8,22.4,24.7,28,30.1,34.8,36.8,39.8,44.6,47.5,47.6,48.8,46.5,46.9,42.6,38.5
Western Africa,50.7,52.7,58.2,58.9,58.4,59.7,64.6,64.9,68.5,68.5,71.2,76.5,83.1,82.1,84.5,88.2,81.4,88,95.2,89.3,94.6,104.3,107.2,107.6,108.7,125.5,132.4,143.1,159.9,162.5,151.5
Other Northern Africa,40.5,40.6,41.4,43,47.8,50.2,52.2,53.6,55.7,55,58.8,60,61.1,62.1,65.9,67.7,69,66.5,68.9,73.9,76.3,57.2,71,75.5,78.4,69.8,69.7,69,69.5,71.3,63.7
Other Southern Africa,6.3,6.2,6.9,7,7.4,7.6,7.3,7.8,8.5,8.8,8.9,9.1,9,9,9.1,9.6,9.5,9.9,10.3,10.8,9.5,10.9,12.3,12.5,13.7,13.9,14.1,15,15.4,14.5,13.5
Australia,274.9,274.8,278.7,283.3,293.3,307.7,318.1,327.9,337.4,352.9,355,356.8,363.4,369.8,382.8,382.6,398.2,405.4,414.8,405.2,396.1,400.4,392.8,389.6,394.1,403.1,401.7,399.2,394.8,398.1,370.3
Bangladesh,12.8,12,13.1,14.1,14.8,18.2,18.4,20.8,21.1,21.9,23.5,27.7,29.7,30.8,33,36.4,40.4,40.8,44.2,49.2,50.6,56.5,60.4,62.7,65.4,78,79.2,83.1,89.2,100.6,97.9
China,2323.8,2455.9,2581.2,2787.3,2938.1,3028.8,3177.7,3166.8,3163.4,3294.4,3360.9,3523.1,3843.4,4532.1,5334.9,6098.2,6677.3,7239.8,7378.2,7710.1,8142.2,8823.4,9000.4,9242.5,9288.1,9274.8,9274.3,9462.7,9648.6,9806,9893.5
China Hong Kong SAR,41.3,43,50.1,55.1,48.4,52.2,49.7,49,50.8,50.2,53.4,70,67.2,71.3,78.5,75.8,79.9,85.6,79.2,86.5,88.3,92,88.7,91.5,89.7,90.5,92.7,98.9,99.5,94.7,68.2
India,602.1,634.9,671.9,694,724.8,773.4,812.5,855,895.7,914.3,959.8,968.6,1008.6,1049.4,1112.1,1200.2,1252.1,1363.1,1461.9,1588.3,1650.2,1728.2,1842.4,1925.7,2079,2146.5,2238.3,2320.6,2445.8,2468.4,2298.2
Indonesia,135.8,146.3,160.5,171,183.1,195.5,206.5,231.5,229.5,247.9,268.5,291.1,301.1,336.2,328.9,337.4,356.4,388.2,378.7,393.7,436.2,478.4,516.2,531.9,481.1,496.5,496.4,521.9,570.9,620.2,541.3
Japan,1087,1104.2,1116.4,1110.8,1175,1189.9,1211.3,1210.5,1179.2,1211.1,1233.2,1226.4,1237.2,1278,1262,1295.1,1272.6,1286.9,1297.1,1127.7,1197.9,1206.1,1292.1,1279.7,1246.4,1207,1189.9,1181.3,1158.3,1117.6,1026.8
Malaysia,58.8,70.5,76.3,77.2,85.4,87.3,99,114.8,105.4,119,131.3,133.4,144,159.2,170.7,180.9,186.7,190.4,197.8,190.2,213,213.7,226.7,233.3,242.2,245.8,251.4,241.2,250,257.5,250.6
New Zealand,25.9,26.4,28,27.4,28.5,28.8,29.7,31.7,30.4,31.7,32.2,34.4,34.4,36.6,35.7,37.9,37.7,36.7,37.5,34.6,34.4,34.4,36,35.5,35.6,36.3,35.5,37.6,37.5,39.3,34.1
Pakistan,57.8,61.4,65.8,72.5,76.1,80.7,84.7,85.9,88.3,94.1,97.8,98.9,101.2,106.6,117.9,120.2,130.2,142,146.3,146,145.7,144.1,145.5,145.5,152.3,159.9,175.7,189.6,197.7,196.8,195.5
Philippines,39.9,39.4,47.5,48.8,51.2,58,62.5,68.5,69.2,67.4,66.8,67.7,65.9,68,70.3,70.4,67.5,71.8,74,74.5,79.9,80.7,83.1,91.9,97.3,106.2,116.4,128.9,133.7,140.7,127.2
Singapore,69.6,71.2,76.3,83.1,95.7,98.6,98.4,102.4,101.2,100,107.1,117.5,111.8,103.7,116.2,127.3,140.3,151.4,163.4,176.7,185.3,192.7,192,191.4,191,202.8,217,229,225.3,217.2,211
South Korea,235.4,263.8,288.3,317.9,343.4,372.7,413.6,438.2,368.6,402,428.6,442.2,461,470.5,479.6,487.9,492.7,504.5,517.2,521.8,578.9,604.5,601.3,608,602.8,609.4,614.5,631.1,646.3,623.1,577.8
Sri Lanka,3.9,4.1,4.9,4.7,5.2,5.7,7,7.6,8.1,8.9,10.6,10.4,11.1,11.1,10.9,12.6,13,13.8,12.6,13.2,13.1,14.8,16.1,14,17.2,17.9,20.2,21.7,21.4,23.3,20.8
Taiwan,120.5,130.2,139.2,151.3,158.5,169.4,177.6,192.8,206.7,218.1,236.4,234.4,246,249.7,266.5,270.3,278.2,281.1,266.4,253.8,273.2,278.1,272,273.7,281,281.3,283.8,292.4,290.5,284.9,275.9
Thailand,89.7,99.9,110.4,124.9,140,153.9,171.9,178.7,163.8,171.2,168.2,174.5,189.4,200.3,218.3,227.5,227.7,236.7,237.4,236.5,248.7,253.5,270.6,273.9,280.7,288.7,295.5,296.3,298.9,293.6,276.4
Vietnam,17.9,17.4,18.3,20.5,22.9,27.2,31.2,37.8,41.2,40.2,47,51.4,57.5,62.9,81.4,86.3,72.3,79.2,104.3,102.4,121.9,135,132.7,138,154.6,183.5,196.3,197.6,239.4,290.5,282.6
Other Asia Pacific,154.3,150.3,134.2,127.2,119.7,116.1,107.1,107.1,101.7,108.4,115.3,118.8,116.7,121.8,122.6,127.9,131.8,123.6,129.3,113.9,120.6,112,116.6,108.2,119.6,127.7,140,142.6,146.6,206,204.7
